system:index,classification,.geo
0_60,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.62254825689298,23.6481498544464]}"
0_61,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.66746402109897,23.6481498544464]}"
0_62,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71237978530493,23.6481498544464]}"
0_63,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.75729554951091,23.6481498544464]}"
0_64,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.8022113137169,23.6481498544464]}"
0_65,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.84712707792286,23.6481498544464]}"
0_66,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.89204284212884,23.6481498544464]}"
0_67,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.93695860633483,23.6481498544464]}"
0_68,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.9818743705408,23.6481498544464]}"
0_69,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.02679013474678,23.6481498544464]}"
0_70,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.07170589895274,23.6481498544464]}"
0_71,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11662166315872,23.6481498544464]}"
0_72,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1615374273647,23.6481498544464]}"
0_73,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20645319157067,23.6481498544464]}"
0_74,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25136895577666,23.6481498544464]}"
0_75,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29628471998262,23.6481498544464]}"
0_76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3412004841886,23.6481498544464]}"
0_77,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38611624839459,23.6481498544464]}"
0_78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43103201260055,23.6481498544464]}"
0_79,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47594777680654,23.6481498544464]}"
0_80,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5208635410125,23.6481498544464]}"
0_81,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56577930521848,23.6481498544464]}"
0_82,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.61069506942447,23.6481498544464]}"
0_83,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.65561083363043,23.6481498544464]}"
0_84,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.70052659783642,23.6481498544464]}"
0_85,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.74544236204238,23.6481498544464]}"
0_86,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.79035812624836,23.6481498544464]}"
0_87,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.83527389045435,23.6481498544464]}"
0_88,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88018965466031,23.6481498544464]}"
0_89,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.9251054188663,23.6481498544464]}"
0_90,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.97002118307226,23.6481498544464]}"
0_91,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.01493694727824,23.6481498544464]}"
0_92,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.99372755800933,23.69306561865238]}"
0_93,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.0386433222153,23.69306561865238]}"
0_94,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.08355908642127,23.69306561865238]}"
0_95,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.12847485062726,23.69306561865238]}"
0_96,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.17339061483322,23.69306561865238]}"
