system:index,classification,.geo
0_60,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,15.832806882606565]}"
0_61,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,15.832806882606565]}"
0_62,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,15.832806882606565]}"
0_63,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,15.832806882606565]}"
0_64,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,15.832806882606565]}"
0_65,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,15.832806882606565]}"
0_66,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,15.832806882606565]}"
0_67,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,15.832806882606565]}"
0_68,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,15.832806882606565]}"
0_69,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,15.832806882606565]}"
0_70,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,15.832806882606565]}"
0_71,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,15.832806882606565]}"
0_72,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,15.877722646812542]}"
0_73,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,15.877722646812542]}"
0_74,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.877722646812542]}"
0_75,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.877722646812542]}"
0_76,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,15.877722646812542]}"
0_77,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,15.877722646812542]}"
0_78,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.68431117990374,15.877722646812542]}"
0_79,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,15.877722646812542]}"
0_80,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,15.877722646812542]}"
0_81,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,15.877722646812542]}"
